Name,Popularity
둔타,0.064944
폭타,0.388958
코터스,0.144621
피그점프,0.005204
피그킹,0.049681
얼루기,0.072072
톱치,0.146046
비브라바,0.005201
플라이곤,0.41721
선인왕,0.00372
밤선인,0.028281
파비코,0.122047
파비코리,0.546635
쟝고,0.241026
세비퍼,0.035328
루나톤,0.051736
솔록,0.068942
미꾸리,0.193645
메깅,0.110226
가재군,0.005189
가재장군,0.008148
오뚝군,0.021152
점토도리,0.005939
릴링,0.042203
릴리요,0.047009
아노딥스,0.006677
아말도,0.045552
빈티나,0.509434
밀로틱,0.624647
캐스퐁,0.093926
켈리몬,0.076072
어둠대신,0.162703
다크펫,0.45989
해골몽,0.025566
미라몽,0.050355
트로피우스,0.082531
치렁,0.272431
앱솔,0.747052
마자,0.17716
눈꼬마,0.272628
얼음귀신,0.217417
대굴레오,0.050498
씨레오,0.002983
씨카이저,0.069453
진주몽,0.031936
헌테일,0.004814
분홍장이,1e-06
시라칸,0.011834
사랑동이,0.027677
아공이,0.326797
쉘곤,0.156368
보만다,0.63387
메탕,0.560012
메탕구,0.032601
메타그로스,0.712516
레지락,0.174538
레지아이스,0.104579
레지스틸,0.073529
라티아스,0.635961
라티오스,0.633807
가이오가,0.752431
그란돈,0.77308
레쿠쟈,0.875397
지라치,0.535474
테오키스,0.521615
모부기,0.232768
수풀부기,0.027406
토대부기,0.259542
불꽃숭이,0.140496
파이숭이,0.026245
초염몽,0.532946
팽도리,0.455196
팽태자,0.003665
엠페르트,0.344719
찌르꼬,0.173615
찌르버드,0.008225
찌르호크,0.399298
비버니,0.155776
비버통,0.075399
귀뚤뚜기,0.012899
귀뚤톡크,0.12304
꼬링크,0.234796
럭시오,0.026245
렌트라,0.411549
꼬몽울,0.187709
로즈레이드,0.209328
두개도스,0.046144
램펄드,0.06701
방패톱스,0.022834
바리톱스,0.081731
도롱충이,0.004814
도롱마담,0.004098
나메일,0.099302
세꿀버리,0.038309
비퀸,0.051769
파치리스,0.377632
브이젤,0.157895
플로젤,0.071379
체리버,0.024836
체리꼬,0.141885
깝질무,0.008876
트리토돈,0.099462
겟핸보숭,0.006057
흔들풍손,0.116678
둥실라이드,0.049787
이어롤,0.412295
이어롭,0.679871
무우마직,0.150476
돈크로우,0.07978
나옹마,0.004454
몬냥이,0.02971
랑딸랑,0.145873
스컹뿡,0.022727
스컹탱크,0.043634
동미러,0.047585
동탁군,0.212816
꼬지지,0.124837
흉내내,0.003736
핑복,0.064336
페라페,0.038905
화강돌,0.459448
딥상어동,0.647155
한바이트,0.287387
한카리아스,0.837806
먹고자,0.420555
리오르,0.739981
루카리오,0.875605
히포포타스,0.034632
하마돈,0.23508
스콜피,0.018328
드래피온,0.196514
삐딱구리,0.011808
독개굴,0.06899
무스틈니,0.026182
형광어,0.003726
네오라이트,0.078093
타만타,0.005208
눈쓰개,0.006686
눈설왕,0.179141
포푸니라,0.428735
자포코일,0.449505
내룸벨트,0.048502
거대코뿌리,0.262115
덩쿠림보,0.126061
에레키블,0.153603
마그마번,0.028322
토게키스,0.521432
메가자리,0.288256
리피아,0.538118
글레이시아,0.677836
글라이온,0.432643
맘모꾸리,0.341367
폴리곤Z,0.054417
엘레이드,0.638683
대코파스,0.073103
야느와르몽,0.118922
눈여아,0.558205
로토무,0.703998
유크시,0.112143
엠라이트,0.212816
아그놈,0.154235
디아루가,0.762517
펄기아,0.735871
히드런,0.507299
레지기가스,0.518547
기라티나,0.790159
크레세리아,0.232838
피오네,0.153068
마나피,0.367273
다크라이,0.74902
쉐이미,0.484182
아르세우스,0.916174
비크티니,0.33598
주리비얀,0.14377
샤비,0.14472
샤로다,0.303266
뚜꾸리,0.305955
챠오꿀,0.038821
염무왕,0.411072
수댕이,0.391364
쌍검자비,0.024745
대검귀,0.437158
보르쥐,0.042949
보르그,0.116946
요테리,0.034707
하데리어,0.021168
바랜드,0.259317
쌔비냥,0.099663
레파르다스,0.011103
야나프,0.124346
야나키,0.007407
바오프,0.152188
바오키,0.011054
앗차프,0.05583
앗차키,0.004468
몽나,0.101945
몽얌나,0.021946
콩둘기,0.059072
유토브,0.051136
켄호로우,0.00372
줄뮤마,0.002983
제브라이카,0.02407
단굴,0.051136
암트르,0.034657
기가이어스,0.042918
또르박쥐,0.042264
맘박쥐,0.025473
두더류,0.227614
몰드류,0.503868
다부니,0.306325
으랏차,0.230029
토쇠골,0.008889
노보청,0.17734
동챙이,0.021962
두까비,0.004468
두빅굴,0.04918
던지미,0.027616
타격귀,0.090599
두르보,0.007402
두르쿤,0.079561
모아머,0.191102
마디네,0.115003
휠구,0.146127
펜드라,0.424516
소미안,0.084177
엘풍,0.345928
치릴리,0.262111
드레디어,0.370233
배쓰나이,0.139203
깜눈크,0.071841
악비르,0.05301
악비아르,0.374682
달막화,0.163112
불비달마,0.352808
마라카치,0.04911
돌살이,0.043385
암팰리스,0.036717
곤율랭,0.127368
곤율거니,0.249436
심보러,0.019766
데스마스,0.339753
데스니칸,0.03677
프로토가,0.050498
늑골라,0.006682
아켄,0.036023
아케오스,0.168428
깨봉이,0.075433
더스트나,0.28312
조로아,0.627538
조로아크,0.706887
치라미,0.252378
치라치노,0.109416
고디탱,0.026201
고디보미,0.02407
고디모아젤,0.105157
유니란,0.154188
듀란,0.120207
란쿨루스,0.1569
꼬지보리,0.04484
스완나,0.011054
바닐프티,0.185253
바닐리치,0.002978
배바닐라,0.068388
사철록,0.025529
바라철록,0.005197
에몽가,0.374746
딱정곤,0.005201
슈바르고,0.027496
깜놀버슬,0.026968
뽀록나,0.021245
탱그릴,0.004458
탱탱겔,0.023375
맘복치,0.006696
파쪼옥,0.182598
전툴라,0.076019
철시드,0.055085
너트령,0.279099
기어르,0.147321
기기어르,0.001494
기기기어르,0.031884
저리어,0.238721
저리릴,0.005204
저리더프,0.353806
리그레,0.173041
벰크,0.111456
불켜미,0.367081
램프라,0.096556
샹델라,0.506799
터검니,0.252931
액슨도,0.002235
액스라이즈,0.202501
코고미,0.065688
툰베어,0.029818
프리지오,0.115003
쪼마리,0.024799
어지리더,0.026258
메더,0.234857
비조푸,0.005944
비조도,0.097775
크리만,0.243764
골비람,0.006691
골루그,0.24986
자망칼,0.07152
절각참,0.166355
버프론,0.024105
수리둥보,0.046263
워글,0.261734
벌차이,0.117063
버랜지나,0.005212
앤티골,0.004464
아이앤트,0.014032
모노두,0.155499
디헤드,0.155874
삼삼드래,0.535714
활화르바,0.124622
불카모스,0.453577
코바르온,0.180258
테라키온,0.11332
비리디온,0.115664
토네로스,0.171623
볼트로스,0.213028
레시라무,0.708809
제크로무,0.642438
랜드로스,0.382598
큐레무,0.686919
케르디오,0.341859
메로엣타,0.431789
게노세크트,0.291247
도치마론,0.174801
도치보구,0.001493
브리가론,0.284413
푸호꼬,0.304545
테르나,0.148206
마폭시,0.484231
개구마르,0.534624
개굴반장,0.023375
개굴닌자,0.846678
파르빗,0.125245
파르토,0.144046
화살꼬빈,0.301413
불화살빈,0.025604
파이어로,0.420889
분이벌레,0.203194
분떠도리,0.023474
비비용,0.419753
레오꼬,0.088791
화염레오,0.172649
플라베베,0.074896
플라엣테,0.584983
플라제스,0.285714
메이클,0.117608
고고트,0.241408
판짱,0.291247
부란다,0.26663
트리미앙,0.328259
냐스퍼,0.311374
냐오닉스,0.389397
단칼빙,0.42645
쌍검킬,0.081044
킬가르도,0.491943
슈쁘,0.250711
프레프티르,0.038849
나룸퍼프,0.1537
나루림,0.117063
오케이징,0.32898
칼라마네로,0.522629
거북손손,0.036744
거북손데스,0.320581
수레기,0.163804
드래캄,0.216169
완철포,0.005944
블로스터,0.092329
목도리키텔,0.070883
일레도리자드,0.270992
티고라스,0.15816
견고라스,0.35954
아마루스,0.203218
아마루르가,0.177668
님피아,0.822277
루차불,0.478558
데덴네,0.44144
멜리시,0.314085
미끄메라,0.337778
미끄네일,0.028364
미끄래곤,0.580571
클레피,0.259013
나목령,0.080412
대로트,0.148625
호바귀,0.19421
펌킨인,0.067785
꽁어름,0.004814
크레베이스,0.191168
음뱃,0.154769
음번,0.358001
제르네아스,0.5795
이벨타르,0.571719
지가르데,0.784664
디안시,0.576993
후파,0.506819
볼케니온,0.254464
나몰빼미,0.549865
빼미스로우,0.006181
모크나이퍼,0.319981
냐오불,0.069693
냐오히트,0.001373
어흥염,0.419429
누리공,0.227466
키요공,0.004781
누리레느,0.419154
콕코구리,0.06039
크라파,0.003645
왕큰부리,0.083491
영구스,0.101342
형사구스,0.02907
턱지충이,0.005472
전지충이,0.009615
투구뿌논,0.070236
오기지게,0.024781
모단단게,0.265496
춤추새,0.351761
에블리,0.205596
에리본,0.058368
암멍이,0.5
루가루암,0.543191
약어리,0.15165
시마사리,0.037383
더시마사리,0.264041
머드나기,0.006691
만마드,0.105017
물거미,0.108012
깨비물거미,0.15479
짜랑랑,0.061096
라란티스,0.109707
자마슈,0.004451
마셰이드,0.029732
야도뇽,1e-06
염뉴트,0.158491
포곰곰,0.008142
이븐곰,0.264286
달콤아,0.0511
달무리나,0.02551
달코퀸,0.171305
큐아링,0.030435
하랑우탄,0.046462
내던숭이,0.091525
꼬시레,0.087253
갑주무사,0.433921
모래꿍,0.022644
모래성이당,0.098449
해무기,0.10978
타입:널,0.169355
실버디,0.277818
메테노,0.325605
자말라,0.175676
폭거북스,0.106212
토게데마루,0.089492
따라큐,0.78273
치갈기,0.024745
할비롱,0.357974
타타륜,0.165212
짜랑꼬,0.049041
짜랑고우,0.051732
짜랑고우거,0.214889
카푸꼬꼬꼭,0.100404
카푸나비나,0.072614
카푸브루루,0.027596
카푸느지느,0.052408
코스모그,0.233677
코스모움,0.079092
솔가레오,0.562368
루나아라,0.571137
텅비드,0.262391
매시붕,0.082418
페로코체,0.134524
전수목,0.087312
철화구야,0.127604
종이신도,0.171923
악식킹,0.110963
네크로즈마,0.685739
마기아나,0.36556
마샤도,0.510775
베베놈,0.064336
아고용,0.208243
차곡차곡,0.164996
두파팡,0.175676
제라오라,0.575348
멜탄,0.450307
멜메탈,0.155696
흥나숭,0.100671
채키몽,0.002743
고릴타,0.426488
염버니,0.490237
래비풋,0.081044
에이스번,0.570067
울머기,0.233848
누겔레온,0.001491
인텔리레온,0.257079
탐리스,0.097643
요씽리스,0.042173
파라꼬,0.010886
파크로우,0.194696
아머까오,0.525145
두루지벌레,0.029007
레돔벌레,0.022849
이올브,0.070188
훔처우,0.117647
폭슬라이,0.01978
